,Title,item_ids
1821440,Broken Arrow (1996),95
1828580,In the Bleak Midwinter (1995),96
1839820,"Hate (Haine, La) (1995)",97
1879926,Shopping (1994),98
1888521,Heidi Fleiss: Hollywood Madam (1995),99
1898085,City Hall (1996),100
1901644,Bottle Rocket (1996),101
1905677,Mr. Wrong (1996),102
1918839,Unforgettable (1996),103
1920403,Happy Gilmore (1996),104
1923185,"Bridges of Madison County, The (1995)",105
1928136,Nobody Loves Me (Keiner liebt mich) (1994),106
1933141,Muppet Treasure Island (1996),107
1936888,Catwalk (1996),108
1945250,Headless Body in Topless Bar (1995),109
1954386,Braveheart (1995),110
1955632,Taxi Driver (1976),111
1957088,Rumble in the Bronx (Hont faan kui) (1995),112
1982178,Before and After (1996),113
1984225,Margaret's Museum (1995),114
2001842,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",115
2021301,Anne Frank Remembered (1995),116
2026429,"Young Poisoner's Handbook, The (1995)",117
2031961,If Lucy Fell (1996),118
2033280,"Steal Big, Steal Little (1995)",119
2063723,Race the Sun (1996),120
2095695,"Boys of St. Vincent, The (1992)",121
2102057,Boomerang (1992),122
2105434,Chungking Express (Chung Hing sam lam) (1994),123
2113854,"Star Maker, The (Uomo delle stelle, L') (1995)",124
2123909,Flirting With Disaster (1996),125
2125492,"NeverEnding Story III, The (1994)",126
2144223,"Silences of the Palace, The (Saimt el Qusur) (1994)",127
2161462,Jupiter's Wife (1994),128
2162147,Pie in the Sky (1996),129
2163036,Angela (1995),130
2164713,Frankie Starlight (1995),131
2168256,Jade (1995),132
2205809,Nueba Yol (1995),133
2208671,Sonic Outlaws (1995),134
2209592,Down Periscope (1996),135
2211383,From the Journals of Jean Seberg (1995),136
2212832,Man of the Year (1995),137
2216291,"Neon Bible, The (1995)",138
2217895,Target (1995),139
2227413,Up Close and Personal (1996),140
2227803,"Birdcage, The (1996)",141
2242272,Shadows (Cienie) (1988),142
2242490,Gospa (1995),143
2276437,"Brothers McMullen, The (1995)",144
2276884,Bad Boys (1995),145
2277961,"Amazing Panda Adventure, The (1995)",146
2280522,"Basketball Diaries, The (1995)",147
2296095,"Awfully Big Adventure, An (1995)",148
2308265,Amateur (1994),149
2333522,Apollo 13 (1995),150
2337722,Rob Roy (1995),151
2339671,"Addiction, The (1995)",152
2341395,Batman Forever (1995),153
2350060,Beauty of the Day (Belle de jour) (1967),154
2350106,Beyond Rangoon (1995),155
2352627,Blue in the Face (1995),156
2354133,Canadian Bacon (1995),157
2355064,Casper (1995),158
2356975,Clockers (1995),159
2388552,Congo (1995),160
2389770,Crimson Tide (1995),161
2391197,Crumb (1994),162
2394177,Desperado (1995),163
2394363,Devil in a Blue Dress (1995),164
2413047,Die Hard: With a Vengeance (1995),165
2413493,"Doom Generation, The (1995)",166
2417205,Feast of July (1995),167
2420026,First Knight (1995),168
2420798,Free Willy 2: The Adventure Home (1995),169
2433955,Hackers (1995),170
2434310,Jeffrey (1995),171
2435548,Johnny Mnemonic (1995),172
2451260,Judge Dredd (1995),173
2451904,Jury Duty (1995),174
2471794,Kids (1995),175
2476041,Living in Oblivion (1995),176
2488776,Lord of Illusions (1995),177
2508157,Love & Human Remains (1993),178
2520869,Mad Love (1995),179
2574638,Mallrats (1995),180
2575714,Mighty Morphin Power Rangers: The Movie (1995),181
2591885,Moonlight and Valentino (1995),182
2593164,Mute Witness (1994),183
2652879,Nadja (1994),184
2654867,"Net, The (1995)",185
2670494,Nine Months (1995),186
2670608,Party Girl (1995),187
2717447,"Prophecy, The (1995)",188
2758873,Reckless (1995),189
2761894,Safe (1995),190
2781218,"Scarlet Letter, The (1995)",191
2795748,"Show, The (1995)",192
2831328,Showgirls (1995),193
2844819,Smoke (1995),194
2856578,Something to Talk About (1995),195
2862754,Species (1995),196
2864930,"Stars Fell on Henrietta, The (1995)",197
2867263,Strange Days (1995),198
2869006,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",199
2870422,"Tie That Binds, The (1995)",200
2871780,Three Wishes (1995),201
2875605,Total Eclipse (1995),202
2876520,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",203
2880001,Under Siege 2: Dark Territory (1995),204
2890175,Unstrung Heroes (1995),205
2909041,Unzipped (1995),206
2954028,"Walk in the Clouds, A (1995)",207
2961210,Waterworld (1995),208
2967801,White Man's Burden (1995),209
2968119,Wild Bill (1995),210
2972185,"Browning Version, The (1994)",211
2976263,Bushwhacked (1995),212
2981851,Burnt by the Sun (Utomlyonnye solntsem) (1994),213
2984315,Before the Rain (Pred dozhdot) (1994),214
2988985,Before Sunrise (1995),215
2995776,Billy Madison (1995),216
2997602,"Babysitter, The (1995)",217
3006358,Boys on the Side (1995),218
3019304,"Cure, The (1995)",219
3021722,Castle Freak (1995),220
3022968,Circle of Friends (1995),222
3023526,Clerks (1994),223
3025140,Don Juan DeMarco (1995),224
3026099,Disclosure (1994),225
3027145,Dream Man (1995),226
3027759,Drop Zone (1994),227
3030628,Destiny Turns on the Radio (1995),228
3080323,Death and the Maiden (1994),229
3088294,Dolores Claiborne (1995),230
3103259,Dumb & Dumber (Dumb and Dumber) (1994),231
3118252,Eat Drink Man Woman (Yin shi nan nu) (1994),232
3123053,Exotica (1994),233
3136681,Exit to Eden (1994),234
3168480,Ed Wood (1994),235
3194884,French Kiss (1995),236
3214181,Forget Paris (1995),237
3232488,Far From Home: The Adventures of Yellow Dog (1995),238
3282069,"Goofy Movie, A (1995)",239
3285279,Hideaway (1995),240
3286518,Fluke (1995),241
3294363,Farinelli: il castrato (1994),242
3295266,Gordy (1995),243
3342314,Gumby: The Movie (1995),244
3361113,"Glass Shield, The (1994)",245
3402468,Hoop Dreams (1994),246
3419917,Heavenly Creatures (1994),247
3424101,Houseguest (1994),248
3438185,Immortal Beloved (1994),249
3446214,Heavyweights (Heavy Weights) (1995),250
3453220,"Hunted, The (1995)",251
3463066,I.Q. (1994),252
3491401,Interview with the Vampire: The Vampire Chronicles (1994),253
3498254,Jefferson in Paris (1995),254
3507787,"Jerky Boys, The (1995)",255
3520135,Junior (1994),256
3526086,Just Cause (1995),257
3531353,"Kid in King Arthur's Court, A (1995)",258
3548861,Kiss of Death (1995),259
3557752,Star Wars: Episode IV - A New Hope (1977),260
3564437,Little Women (1994),261
3572094,"Little Princess, A (1995)",262
3604680,Ladybird Ladybird (1994),263
3618637,"Enfer, L' (1994)",264
3643331,Like Water for Chocolate (Como agua para chocolate) (1992),265
3669737,Legends of the Fall (1994),266
3689561,Major Payne (1995),267
3716959,Little Odessa (1994),268
3737504,My Crazy Life (Mi vida loca) (1993),269
3747215,Love Affair (1994),270
3762598,Losing Isaiah (1995),271
3774864,"Madness of King George, The (1994)",272
3791903,Mary Shelley's Frankenstein (Frankenstein) (1994),273
3797309,Man of the House (1995),274
3805466,Mixed Nuts (1994),275
3816819,Milk Money (1994),276
3832873,Miracle on 34th Street (1994),277
3854761,Miami Rhapsody (1995),278
3855682,My Family (1995),279
3864251,Murder in the First (1995),280
3875113,Nobody's Fool (1994),281
3882540,Nell (1994),282
3893353,New Jersey Drive (1995),283
3906451,New York Cop (Nyû Yôku no koppu) (1993),284
3918836,Beyond Bedlam (1993),285
3921908,Nemesis 2: Nebula (1995),286
3940481,Nina Takes a Lover (1994),287
3951645,Natural Born Killers (1994),288
3966986,Only You (1994),289
3999224,Once Were Warriors (1994),290
4000652,Poison Ivy II (1996),291
4006624,Outbreak (1995),292
4010540,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),293
4018003,"Perez Family, The (1995)",294
4029642,"Pyromaniac's Love Story, A (1995)",295
4037015,Pulp Fiction (1994),296
4048484,Panther (1995),297
4069587,Pushing Hands (Tui shou) (1992),298
4078791,Priest (1994),299
4082871,Quiz Show (1994),300
4102317,Picture Bride (Bijo photo) (1994),301
4122041,"Queen Margot (Reine Margot, La) (1994)",302
4129298,"Quick and the Dead, The (1995)",303
4166408,Roommates (1995),304
4168590,Ready to Wear (Pret-A-Porter) (1994),305
4173803,Three Colors: Red (Trois couleurs: Rouge) (1994),306
4178312,Three Colors: Blue (Trois couleurs: Bleu) (1993),307
4194822,Three Colors: White (Trzy kolory: Bialy) (1994),308
4203697,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",309
4205675,Rent-a-Kid (1995),310
4215751,Relative Fear (1994),311
4219158,Stuart Saves His Family (1995),312
4227952,"Swan Princess, The (1994)",313
4229769,"Secret of Roan Inish, The (1994)",314
4233912,"Specialist, The (1994)",315
4257221,Stargate (1994),316
4263848,"Santa Clause, The (1994)",317
4270146,"Shawshank Redemption, The (1994)",318
4276660,Shallow Grave (1994),319
4287326,Suture (1993),320
4292998,Strawberry and Chocolate (Fresa y chocolate) (1993),321
4294383,Swimming with Sharks (1995),322
4298470,"Sum of Us, The (1994)",324
4311172,National Lampoon's Senior Trip (1995),325
4313597,To Live (Huozhe) (1994),326
4315641,Tank Girl (1995),327
4317659,Tales from the Crypt Presents: Demon Knight (1995),328
4321080,Star Trek: Generations (1994),329
4329609,Tales from the Hood (1995),330
4331394,Tom & Viv (1994),331
4335307,Village of the Damned (1995),332
4386641,Tommy Boy (1995),333
4388112,Vanya on 42nd Street (1994),334
4389565,Underneath (1995),335
4390613,"Walking Dead, The (1995)",336
4405702,What's Eating Gilbert Grape (1993),337
4410528,Virtuosity (1995),338
4413880,While You Were Sleeping (1995),339
4427362,"War, The (1994)",340
4432189,Double Happiness (1994),341
4433642,Muriel's Wedding (1994),342
4435614,"Baby-Sitters Club, The (1995)",343
4444563,Ace Ventura: Pet Detective (1994),344
4458429,"Adventures of Priscilla, Queen of the Desert, The (1994)",345
4477540,Backbeat (1993),346
4484788,Bitter Moon (1992),347
4487013,Bullets Over Broadway (1994),348
4492829,Clear and Present Danger (1994),349
4512335,"Client, The (1994)",350
4516400,"Corrina, Corrina (1994)",351
4520798,Crooklyn (1994),352
4521706,"Crow, The (1994)",353
4523513,Cobb (1994),354
4544304,"Flintstones, The (1994)",355
4551487,Forrest Gump (1994),356
4565644,Four Weddings and a Funeral (1994),357
4570619,Higher Learning (1995),358
4582155,I Like It Like That (1994),359
4591346,I Love Trouble (1994),360
4595116,It Could Happen to You (1994),361
4602574,"Jungle Book, The (1994)",362
4607538,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",363
4608656,"Lion King, The (1994)",364
4621184,Little Buddha (1993),365
4645083,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",366
4674088,"Mask, The (1994)",367
4695026,Maverick (1994),368
4728966,Mrs. Parker and the Vicious Circle (1994),369
4744799,Naked Gun 33 1/3: The Final Insult (1994),370
4810971,"Paper, The (1994)",371
4828033,Reality Bites (1994),372
4842294,Red Rock West (1992),373
4883856,Richie Rich (1994),374
4927015,Safe Passage (1994),375
4941949,"River Wild, The (1994)",376
4950895,Speed (1994),377
4976584,Speechless (1994),378
4979616,Timecop (1994),379
4984428,True Lies (1994),380
4998867,When a Man Loves a Woman (1994),381
5006326,Wolf (1994),382
5009169,Wyatt Earp (1994),383
5037517,Bad Company (1995),384
5055283,"Man of No Importance, A (1994)",385
5068065,S.F.W. (1994),386
5099418,"Low Down Dirty Shame, A (1994)",387
5117580,Boys Life (1995),388
5138247,"Colonel Chabert, Le (1994)",389
5144560,Faster Pussycat! Kill! Kill! (1965),390
5162475,Jason's Lyric (1994),391
5167548,"Secret Adventures of Tom Thumb, The (1993)",392
5189568,Street Fighter (1994),393
5237345,Coldblooded (1995),394
5245926,Desert Winds (1995),395
5262345,Fall Time (1995),396
5273594,"Fear, The (1995)",397
5312585,Frank and Ollie (1995),398
5323879,Girl in the Cadillac (1995),399
5332962,Homage (1995),400
5338419,Mirage (1995),401
5372811,Open Season (1996),402
5392300,Two Crimes (Dos crímenes) (1995),403
5402961,Brother Minister: The Assassination of Malcolm X (1994),404
5413913,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),405
5443401,Federal Hill (1994),406
5485243,In the Mouth of Madness (1995),407
5529451,8 Seconds (1994),408
5564589,Above the Rim (1994),409
5607861,Addams Family Values (1993),410
5610054,Martin Lawrence: You So Crazy (1994),411
5647181,"Age of Innocence, The (1993)",412
5653542,Airheads (1994),413
5668805,"Air Up There, The (1994)",414
5676976,Another Stakeout (1993),415
5709422,Bad Girls (1994),416
5723769,Barcelona (1994),417
5737865,Being Human (1993),418
5751914,"Beverly Hillbillies, The (1993)",419
5760241,Beverly Hills Cop III (1994),420
5782560,Black Beauty (1994),421
5795521,Blink (1994),422
5804841,Blown Away (1994),423
5811146,Blue Chips (1994),424
5823336,Blue Sky (1994),425
5834505,Body Snatchers (1993),426
5842169,Boxing Helena (1993),427
5848281,"Bronx Tale, A (1993)",428
5857807,Cabin Boy (1994),429
5870346,Calendar Girl (1993),430
5873256,Carlito's Way (1993),431
5890650,City Slickers II: The Legend of Curly's Gold (1994),432
5900270,Clean Slate (1994),433
5904158,Cliffhanger (1993),434
5914232,Coneheads (1993),435
5915489,Color of Night (1994),436
5920948,Cops and Robbersons (1994),437
5944162,"Cowboy Way, The (1994)",438
5952200,Dangerous Game (1993),439
5955867,Dave (1993),440
5965806,Dazed and Confused (1993),441
5993505,Demolition Man (1993),442
6001134,"Endless Summer 2, The (1994)",443
6002016,Even Cowgirls Get the Blues (1993),444
6019084,Fatal Instinct (1993),445
6047889,Farewell My Concubine (Ba wang bie ji) (1993),446
6063046,"Favor, The (1994)",447
6096946,Fearless (1993),448
6100232,Fear of a Black Hat (1994),449
6123452,With Honors (1994),450
6124015,Flesh and Bone (1993),451
6134562,Widows' Peak (1994),452
6139982,For Love or Money (1993),453
6150201,"Firm, The (1993)",454
6174550,Free Willy (1993),455
6184257,Fresh (1994),456
6198653,"Fugitive, The (1993)",457
6205178,Geronimo: An American Legend (1993),458
6209830,"Getaway, The (1994)",459
6211952,Getting Even with Dad (1994),460
6214434,Go Fish (1994),461
6217688,"Good Man in Africa, A (1994)",462
6224285,Guilty as Sin (1993),463
6230375,Hard Target (1993),464
6250713,Heaven & Earth (1993),465
6266043,Hot Shots! Part Deux (1993),466
6272302,Live Nude Girls (1995),467
6277871,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",468
6309897,"House of the Spirits, The (1993)",469
6318765,House Party 3 (1994),470
6322599,"Hudsucker Proxy, The (1994)",471
6331740,I'll Do Anything (1994),472
6339783,In the Army Now (1994),473
6345836,In the Line of Fire (1993),474
6363066,In the Name of the Father (1993),475
6375485,"Inkwell, The (1994)",476
6381483,What's Love Got to Do with It? (1993),477
6387453,Jimmy Hollywood (1994),478
6393410,Judgment Night (1993),479
6403995,Jurassic Park (1993),480
6412247,Kalifornia (1993),481
6434321,Killing Zoe (1994),482
6452781,King of the Hill (1993),483
6463143,Lassie (1994),484
6489979,Last Action Hero (1993),485
6514351,Life with Mikey (1993),486
6527735,Lightning Jack (1994),487
6530688,M. Butterfly (1993),488
6535601,Made in America (1993),489
6542363,Malice (1993),490
6542646,"Man Without a Face, The (1993)",491
6544930,Manhattan Murder Mystery (1993),492
6550101,Menace II Society (1993),493
6555786,Executive Decision (1996),494
6565848,In the Realm of the Senses (Ai no corrida) (1976),495
6580142,What Happened Was... (1994),496
6587181,Much Ado About Nothing (1993),497
6589840,Mr. Jones (1993),498
6595495,Mr. Wonderful (1993),499
6598662,Mrs. Doubtfire (1993),500
6599762,Naked (1993),501
6605680,"Next Karate Kid, The (1994)",502
6606945,"New Age, The (1994)",503
6610875,No Escape (1994),504
6613412,North (1994),505
6617987,Orlando (1992),506
6620160,"Perfect World, A (1993)",507
6622508,Philadelphia (1993),508
6625297,"Piano, The (1993)",509
6630494,Poetic Justice (1993),510
6631485,"Program, The (1993)",511
6634027,"Puppet Masters, The (1994)",512
6658548,Radioland Murders (1994),513
6663839,"Ref, The (1994)",514
6669950,"Remains of the Day, The (1993)",515
6681236,Renaissance Man (1994),516
6689474,Rising Sun (1993),517
6692882,"Road to Wellville, The (1994)",518
6695826,RoboCop 3 (1993),519
6699513,Robin Hood: Men in Tights (1993),520
6705998,Romeo Is Bleeding (1993),521
6706863,Romper Stomper (1992),522
6707565,Ruby in Paradise (1993),523
6708597,Rudy (1993),524
6710624,"Saint of Fort Washington, The (1993)",525
6714534,"Savage Nights (Nuits fauves, Les) (1992)",526
6716251,Schindler's List (1993),527
6724327,"Scout, The (1994)",528
6725208,Searching for Bobby Fischer (1993),529
6737796,Second Best (1994),530
6748834,"Secret Garden, The (1993)",531
6757073,Serial Mom (1994),532
6759793,"Shadow, The (1994)",533
6760771,Shadowlands (1993),534
6770438,Short Cuts (1993),535
6772750,"Simple Twist of Fate, A (1994)",536
6780198,Sirens (1994),537
6788091,Six Degrees of Separation (1993),538
6791781,Sleepless in Seattle (1993),539
6795455,Sliver (1993),540
6817194,Blade Runner (1982),541
6821404,Son in Law (1993),542
6823052,So I Married an Axe Murderer (1993),543
6824718,Striking Distance (1993),544
6827497,Harem (1985),545
6828936,Super Mario Bros. (1993),546
6829388,Surviving the Game (1994),547
6829792,Terminal Velocity (1994),548
6837521,Thirty-Two Short Films About Glenn Gould (1993),549
6837899,Threesome (1994),550
6841543,"Nightmare Before Christmas, The (1993)",551
6855488,"Three Musketeers, The (1993)",552
6869051,Tombstone (1993),553
6870576,Trial by Jury (1994),554
6872654,True Romance (1993),555
6873813,"War Room, The (1993)",556
6874101,"Pagemaster, The (1994)",558
6874554,"Paris, France (1993)",559
6876005,"Beans of Egypt, Maine, The (1994)",560
6878822,Killer (Bulletproof Heart) (1994),561
6879757,Welcome to the Dollhouse (1995),562
6886122,Germinal (1993),563
6893607,Chasers (1994),564
6909516,Cronos (1993),565
6909894,Naked in New York (1994),566
6921442,Kika (1993),567
6923380,Bhaji on the Beach (1993),568
6924298,Little Big League (1994),569
6932134,"Slingshot, The (Kådisbellan) (1993)",570
6934779,"Wedding Gift, The (1994)",571
6937731,Foreign Student (1994),572
6942652,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",573
6957189,Spanking the Monkey (1994),574
6958861,"Little Rascals, The (1994)",575
6991739,Fausto (1993),576
6995712,Andre (1994),577
7006231,"Escort, The (Scorta, La) (1993)",579
7010286,Princess Caraboo (1994),580
7012602,"Celluloid Closet, The (1995)",581
7022145,Métisse (Café au Lait) (1993),582
7023709,Dear Diary (Caro Diario) (1994),583
7050555,I Don't Want to Talk About It (De eso no se habla) (1993),584
7056607,"Brady Bunch Movie, The (1995)",585
7058054,Home Alone (1990),586
7065282,Ghost (1990),587
7070370,Aladdin (1992),588
7073511,Terminator 2: Judgment Day (1991),589
7074875,Dances with Wolves (1990),590
7085121,Tough and Deadly (1995),591
7101098,Batman (1989),592
7103964,"Silence of the Lambs, The (1991)",593
7105788,Snow White and the Seven Dwarfs (1937),594
7111402,Beauty and the Beast (1991),595
7124957,Pinocchio (1940),596
7133511,Pretty Woman (1990),597
7139398,Window to Paris (Okno v Parizh) (1994),598
7143946,"Wild Bunch, The (1969)",599
7147453,Love and a .45 (1994),600
7149453,"Wooden Man's Bride, The (Yan shen) (1994)",601
7150891,"Great Day in Harlem, A (1994)",602
7151278,"Bye Bye, Love (1995)",603
7158964,Criminals (1996),604
7170544,One Fine Day (1996),605
7178742,Candyman: Farewell to the Flesh (1995),606
7179736,Century (1993),607
7180386,Fargo (1996),608
7181818,Homeward Bound II: Lost in San Francisco (1996),609
7189833,Heavy Metal (1981),610
7191568,Hellraiser: Bloodline (1996),611
7202764,"Pallbearer, The (1996)",612
7204081,Jane Eyre (1996),613
7204240,Loaded (1994),614
7207434,Bread and Chocolate (Pane e cioccolata) (1973),615
7207852,"Aristocats, The (1970)",616
7208121,"Flower of My Secret, The (La flor de mi secreto) (1995)",617
7214789,Two Much (1995),618
7218630,Ed (1996),619
7227154,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991),620
7228235,My Favorite Season (1993),621
7231038,"Modern Affair, A (1995)",623
7232628,Condition Red (Beyond the Law) (1995),624
7241935,Asfour Stah (1990),625
7243428,"Thin Line Between Love and Hate, A (1996)",626
7249719,"Last Supper, The (1995)",627
7273488,Primal Fear (1996),628
7275383,Rude (1995),629
7297314,Carried Away (1996),630
7299118,All Dogs Go to Heaven 2 (1996),631
7323234,Land and Freedom (Tierra y libertad) (1995),632
7349488,Denise Calls Up (1995),633
7362534,Theodore Rex (1995),634
7395401,"Family Thing, A (1996)",635
7419029,Frisk (1995),636
7431113,Sgt. Bilko (1996),637
7443819,Jack and Sarah (1995),638
7468437,Girl 6 (1996),639
7473851,Diabolique (1996),640
7501626,"Little Indian, Big City (Un indien dans la ville) (1994)",641
7533711,Roula (1995),642
7545926,Peanuts - Die Bank zahlt alles (1996),643
7555066,Happy Weekend (1996),644
7578676,Nelly & Monsieur Arnaud (1995),645
7604922,Courage Under Fire (1996),647
7643148,Mission: Impossible (1996),648
7672719,Cold Fever (Á köldum klaka) (1995),649
7689243,Moll Flanders (1996),650
7697253,"Superweib, Das (1996)",651
7702178,"301, 302 (301/302) (1995)",652
7727118,Dragonheart (1996),653
7777172,And Nobody Weeps for Me (Und keiner weint mir nach) (1996),654
7780545,My Mother's Courage (Mutters Courage) (1995),655
7801054,Eddie (1996),656
7813955,Yankee Zulu (1994),657
7860009,Billy's Holiday (1995),658
7884591,Purple Noon (Plein soleil) (1960),659
7887086,August (1996),660
7895288,James and the Giant Peach (1996),661
7901030,Fear (1996),662
7924331,Kids in the Hall: Brain Candy (1996),663
7929008,Faithful (1996),664
7933927,Underground (1995),665
7938295,All Things Fair (Lust och fägring stor) (1995),666
7941030,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),667
7949736,Song of the Little Road (Pather Panchali) (1955),668
7950481,"World of Apu, The (Apur Sansar) (1959)",670
7953542,Mystery Science Theater 3000: The Movie (1996),671
7956689,Tarantella (1995),672
7975602,Space Jam (1996),673
7976788,Barbarella (1968),674
7993167,Hostile Intentions (1994),675
8000185,They Bite (1996),676
8006974,Some Folks Call It a Sling Blade (1993),678
8007706,"Run of the Country, The (1995)",679
8008519,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",680
8010455,Coup de torchon (Clean Slate) (1981),681
8011536,Tigrero: A Film That Was Never Made (1994),682
8033089,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",683
8043615,Windows (1980),684
8055993,It's My Party (1996),685
8068569,Country Life (1994),687
8077249,Operation Dumbo Drop (1995),688
8084999,"Promise, The (Versprechen, Das) (1995)",690
8096974,Mrs. Winterbourne (1996),691
8109599,Solo (1996),692
8117474,Under the Domim Tree (Etz Hadomim Tafus) (1994),693
8127364,"Substitute, The (1996)",694
8127473,True Crime (1996),695
8128244,Butterfly Kiss (1995),696
8131798,Feeling Minnesota (1996),697
8150416,Delta of Venus (1995),698
8158451,To Cross the Rubicon (1991),699
8164005,Angus (1995),700
8165772,Daens (1992),701
8173664,Faces (1968),702
8183581,Boys (1996),703
8190653,"Quest, The (1996)",704
8194364,Cosi (1996),705
8208743,Sunset Park (1996),706
8210241,Mulholland Falls (1996),707
8219192,"Truth About Cats & Dogs, The (1996)",708
8227034,Oliver & Company (1988),709
8228321,Celtic Pride (1996),710
8231275,Flipper (1996),711
8238956,Captives (1994),712
8239157,Of Love and Shadows (1994),713
8239469,Dead Man (1995),714
8241432,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",715
8249756,Switchblade Sisters (1975),716
8263157,Mouth to Mouth (Boca a boca) (1995),717
8273179,"Visitors, The (Visiteurs, Les) (1993)",718
8281760,Multiplicity (1996),719
8283068,Wallace & Gromit: The Best of Aardman Animation (1996),720
8310728,Halfmoon (Paul Bowles - Halbmond) (1995),721
8315983,"Haunted World of Edward D. Wood Jr., The (1996)",722
8319659,Two Friends (1986),723
8330591,"Craft, The (1996)",724
8332652,"Great White Hype, The (1996)",725
8357243,Last Dance (1996),726
8358489,War Stories (1995),727
8364814,Cold Comfort Farm (1995),728
8369385,"Institute Benjamenta, or This Dream People Call Human Life (1995)",729
8379526,Low Life (1994),730
8381939,Heaven's Prisoners (1996),731
8384082,Original Gangstas (1996),732
8386548,"Rock, The (1996)",733
8394766,Getting Away With Murder (1996),734
8400524,Cemetery Man (Dellamorte Dellamore) (1994),735
8403208,Twister (1996),736
8409298,Barb Wire (1996),737
